,github_job,link_website
48,"FPT Telecom - Sr/Jr/Fr/Big Data Engineer (Scala, Hadoop Ecosystem) - District 7, HCMC - FT",https://github.com/awesome-jobs/vietnam/issues/1984
49,[LARION] - [IT Business Analyst] - [Saigon] - [FT],https://github.com/awesome-jobs/vietnam/issues/1982
50,[LARION] - [Senior NodeJS Developer] - [Saigon] - [FT],https://github.com/awesome-jobs/vietnam/issues/1981
51,Fetch Technology - Senior Ruby on Rails - Onsite Singapore - FT,https://github.com/awesome-jobs/vietnam/issues/1979
52,Fetch Technology - FULLSTACK NODEJS - HCM/HN - FT,https://github.com/awesome-jobs/vietnam/issues/1977
53,rakumo - Python Developer - HCM - FT,https://github.com/awesome-jobs/vietnam/issues/1975
54,Rakuna - Mid-level Backend Developer - HN - FT,https://github.com/awesome-jobs/vietnam/issues/1974
55,Rakuna - Front End/Javascript Developer - HN/HCM - FT,https://github.com/awesome-jobs/vietnam/issues/1973
56,[AHAMOVE]SENIOR UI/UX DESIGNER - HCM - FT,https://github.com/awesome-jobs/vietnam/issues/1972
57,"[GHN] Senior Software Engineer (Java, Golang)",https://github.com/awesome-jobs/vietnam/issues/1971
58,[Scommerce] Full Stack Engineer,https://github.com/awesome-jobs/vietnam/issues/1970
59,UNIT CORP - .NET DEVELOPER - HCM- FT,https://github.com/awesome-jobs/vietnam/issues/1969
60,UNIT CORP - JAVA DEVELOPER - HCM - FT #HCM #Java #Fulltime,https://github.com/awesome-jobs/vietnam/issues/1968
61,Koidra - Machine Learning Research Engineer - Saigon/Remote - FT,https://github.com/awesome-jobs/vietnam/issues/1967
62,[GHN] Product Owner - HCM - Fulltime,https://github.com/awesome-jobs/vietnam/issues/1959
63,NAB VDC - Integration Senior Java Engineer - Saigon - FT ,https://github.com/awesome-jobs/vietnam/issues/1956
64,Holistics Software - Fullstack Engineer (open-source) - Saigon - FT,https://github.com/awesome-jobs/vietnam/issues/1955
65,IPSIP GROUP - Sr DevOps Engineer - HCMC - FT,https://github.com/awesome-jobs/vietnam/issues/1950
66,Sea Group - Sr/Jr/Frontend Engineers (React) - HCMC - FT,https://github.com/awesome-jobs/vietnam/issues/1945
67,Sea Group - Sr/Software Engineers (Go) - HCMC - FT,https://github.com/awesome-jobs/vietnam/issues/1944
68,Fetch Technology - Block Chain Research Engineer - HN/Singapore - FT,https://github.com/awesome-jobs/vietnam/issues/1937
69,Fetch Tech - Senior Backend (Ruby on Rails) Developer - HCM - FT,https://github.com/awesome-jobs/vietnam/issues/1936
70,FETCH TECHNOLOGY - Senior PHP Laravel Developer - Hanoi - Full-time,https://github.com/awesome-jobs/vietnam/issues/1935
71,Robust Tech House - Web Software Engineer - Tan Binh/HCM - FT,https://github.com/awesome-jobs/vietnam/issues/1934
